;pos_time;latitude;longitude;altitude;alt_time;pitch;roll;yaw
0;1666767069.6189287;46.9755343;7.1803558;-0.06400000303983688;1666767069.6238093;-0.34187066555023193;-0.19602951407432556;90.5333251953125
1;1666767069.8590226;46.9755343;7.1803558;-0.0650000050663948;1666767069.8609755;-0.2906622886657715;-0.403193861246109;90.58677673339844
2;1666767070.1244946;46.9755343;7.1803558;-0.06200000271201134;1666767070.1274228;-0.28717586398124695;-0.32063260674476624;90.55369567871094
3;1666767070.3489761;46.9755343;7.1803558999999995;-0.06400000303983688;1666767070.352881;-0.27038684487342834;-0.38774555921554565;90.58196258544922
4;1666767070.558818;46.9755343;7.1803558999999995;-0.06599999964237213;1666767070.5666237;-0.22286413609981537;-0.3276422619819641;90.44155883789062
5;1666767070.7676818;46.9755343;7.1803558999999995;-0.0650000050663948;1666767070.7725601;-0.271358460187912;-0.18406827747821808;90.40242004394531
6;1666767071.0673132;46.9755343;7.1803558999999995;-0.06599999964237213;1666767071.0702412;-0.3186550736427307;-0.2515750527381897;90.43458557128906
7;1666767071.2742229;46.9755343;7.1803558999999995;-0.06700000166893005;1666767071.2771516;-0.32756534218788147;-0.3083736002445221;90.49972534179688
8;1666767071.48211;46.9755343;7.1803558999999995;-0.06700000166893005;1666767071.488943;-0.30793794989585876;-0.22472108900547028;90.45736694335938
9;1666767071.7046387;46.9755343;7.1803558999999995;-0.06800000369548798;1666767071.7065923;-0.35162314772605896;-0.4441221356391907;90.53218078613281
10;1666767071.913515;46.9755343;7.1803558;-0.07300000637769699;1666767071.9164312;-0.3566679060459137;-0.41912609338760376;90.50993347167969
11;1666767072.1184635;46.9755343;7.1803557;-0.07600000500679016;1666767072.1204147;-0.18367893993854523;-0.41362813115119934;90.59024047851562
12;1666767072.3322048;46.9755344;7.1803557;-0.07800000160932541;1666767072.336111;-0.30520206689834595;-0.3835815191268921;90.51812744140625
13;1666767072.5927963;46.9755344;7.1803557;0.0;1666767072.595727;-0.46679580211639404;-0.37672024965286255;90.56819915771484
14;1666767073.0959451;46.9755344;7.1803557;0.0;1666767073.0998478;-0.3639780580997467;-0.3377520442008972;90.5742416381836
15;1666767073.3643467;46.9755344;7.1803558;-0.0020000000949949026;1666767073.3662968;-0.29409974813461304;-0.24886323511600494;90.46235656738281
16;1666767073.6112704;46.9755344;7.1803557;-0.007000000216066837;1666767073.6151772;-0.37289077043533325;-0.3984680771827698;90.64265441894531
17;1666767073.8133132;46.9755344;7.1803557;-0.01100000087171793;1666767073.8181865;-0.2864709198474884;-0.3263241648674011;90.5539321899414
18;1666767074.0329027;46.9755344;7.1803557;-0.017000000923871994;1666767074.0358307;-0.15158095955848694;-0.25060808658599854;90.54524230957031
19;1666767074.2368882;46.9755344;7.1803557;-0.024000000208616257;1666767074.2398143;-0.3412218987941742;-0.41052383184432983;90.65452575683594
20;1666767074.4496543;46.9755344;7.1803557;-0.029000001028180122;1666767074.452583;-0.3336147964000702;-0.2853655219078064;90.47869110107422
21;1666767074.659043;46.9755344;7.1803558;0.0;1666767074.6629455;-0.2733604609966278;-0.40505021810531616;90.58599853515625
22;1666767074.9088964;46.9755344;7.1803558;-0.003000000026077032;1666767074.9108486;-0.2454955279827118;-0.21786950528621674;90.49285125732422
23;1666767075.114834;46.9755344;7.1803557;-0.00800000037997961;1666767075.118738;-0.302236944437027;-0.35611748695373535;90.54839324951172
24;1666767075.3237388;46.9755344;7.1803557;-0.007000000216066837;1666767075.3286173;-0.21357589960098267;-0.3155517876148224;90.63299560546875
25;1666767075.5413861;46.9755344;7.1803557;-0.006000000052154064;1666767075.5501704;-0.18916592001914978;-0.3621487617492676;90.60325622558594
26;1666767075.7600083;46.9755344;7.1803557;-0.006000000052154064;1666767075.768796;-0.10442891716957092;-0.31941211223602295;90.60649871826172
27;1666767075.9835148;46.9755343;7.1803557;-0.005000000353902578;1666767075.9854672;-0.10561186820268631;-0.3145124018192291;90.49736022949219
28;1666767076.225564;46.9755343;7.1803557;-0.006000000052154064;1666767076.2304409;-0.26806652545928955;-0.549884021282196;90.45947265625
29;1666767076.4422324;46.9755343;7.1803557;-0.0020000000949949026;1666767076.449065;0.11821458488702774;0.2952057719230652;90.2638168334961
30;1666767076.6813848;46.9755343;7.1803557;0.023000001907348633;1666767076.685288;-0.0967080220580101;0.17310895025730133;90.2958984375
31;1666767076.8871872;46.9755343;7.1803557;0.07500000298023224;1666767076.8901114;-0.22874809801578522;-0.07894566655158997;90.28777313232422
32;1666767077.1267824;46.9755342;7.1803557;0.15400001406669617;1666767077.131665;-0.3085627555847168;-0.2856772840023041;90.29544067382812
33;1666767077.3493624;46.9755341;7.1803558;0.26500001549720764;1666767077.3522892;-0.2834223806858063;-0.49869951605796814;90.3125228881836
34;1666767077.549441;46.9755341;7.1803558;0.41700002551078796;1666767077.5572503;-0.3007194399833679;-0.537390410900116;90.32269287109375
35;1666767077.7700186;46.9755341;7.1803558;0.5910000205039978;1666767077.7709956;-0.3841857612133026;-0.39496463537216187;90.33143615722656
36;1666767077.9798598;46.9755341;7.1803558999999995;0.7890000343322754;1666767077.9837627;-0.3343654274940491;-0.4334739148616791;90.36077880859375
37;1666767078.1838453;46.9755341;7.1803558999999995;1.0099999904632568;1666767078.1877456;-0.20137758553028107;-0.38328418135643005;90.37311553955078
38;1666767078.3858726;46.9755341;7.180356;1.253000020980835;1666767078.434674;-0.1976802498102188;-0.35544413328170776;90.36534118652344
